Sl.No.,GLIMS_ID,Glacier_ID,Longitude,Latitude,Area_sqKM,Elev_Max(m),Elev_Min(m),Elev_Mean(m),Slope_Max(degree),Slope_Mean(degree),Slope_Min(degree),Aspect(degree),Basin,index_right,HYBAS_L12,LENGTH_KM,DIST_DN_KM,DIST_UP_KM,CATCH_SKM,DIS_AV_CMS,ORD_STRA
342,G089539E28076N,PMogr16_95,89.539,28.076,0.089,5539,5285,5400.0,59.0,30.0,9.0,142.0,Mo Chhu,83410,4120828210,3.1799999872843423,706.1333482530382,10.555555555555555,18.728888723585342,0.5837777786784701,3.0
343,G089545E28079N,PMogr16_96,89.545,28.079,0.163,5563,5178,5371.0,67.0,34.0,15.0,167.0,Mo Chhu,83410,4120828210,3.1799999872843423,706.1333482530382,10.555555555555555,18.728888723585342,0.5837777786784701,3.0
344,G089550E28079N,PMogr16_97,89.55,28.079,0.053,5501,5251,5393.0,68.0,35.0,1.0,196.0,Mo Chhu,83410,4120828210,3.1799999872843423,706.1333482530382,10.555555555555555,18.728888723585342,0.5837777786784701,3.0
345,G089555E28075N,PMogr16_99,89.555,28.075,0.035,5560,5354,5476.0,60.0,37.0,2.0,193.0,Mo Chhu,83410,4120828210,3.1799999872843423,706.1333482530382,10.555555555555555,18.728888723585342,0.5837777786784701,3.0
346,G089552E28077N,PMogr16_98,89.552,28.077,0.053,5542,5281,5438.0,67.0,41.0,2.0,196.0,Mo Chhu,83410,4120828210,3.1799999872843423,706.1333482530382,10.555555555555555,18.728888723585342,0.5837777786784701,3.0
347,G089559E28074N,PMogr16_100,89.559,28.074,0.111,5274,5142,5223.0,60.0,21.0,0.0,113.0,Mo Chhu,83410,4120828210,3.1799999872843423,706.1333482530382,10.555555555555555,18.728888723585342,0.5837777786784701,3.0
348,G089580E28122N,PMogr16_103,89.58,28.122,0.719,6049,4831,5396.0,74.0,42.0,1.0,114.0,Mo Chhu,83410,4120828210,3.1799999872843423,706.1333482530382,10.555555555555555,18.728888723585342,0.5837777786784701,3.0
349,G089591E28135N,PMogr16_104,89.591,28.135,2.862,6017,4213,5125.0,74.0,33.0,0.0,126.0,Mo Chhu,83410,4120828210,3.1799999872843423,706.1333482530382,10.555555555555555,18.728888723585342,0.5837777786784701,3.0
350,G089638E28170N,PMogr16_108,89.638,28.17,0.364,5300,5029,5177.0,57.0,17.0,2.0,171.0,Mo Chhu,83411,4120828080,4.480000066757202,703.4199951171875,10.600000095367431,22.63800048828125,0.5563999861478806,2.0
351,G089671E28165N,PMogr16_110,89.671,28.165,0.319,5460,4948,5202.0,64.0,28.0,2.0,263.0,Mo Chhu,83411,4120828080,4.480000066757202,703.4199951171875,10.600000095367431,22.63800048828125,0.5563999861478806,2.0
352,G089602E28012N,PMogr16_88,89.602,28.012,0.079,5360,5161,5269.0,60.0,24.0,1.0,124.0,Mo Chhu,83316,4120831540,6.168571369988578,686.6714215959821,25.714285714285715,23.44857140949794,3.7472858003207614,3.0
353,G089607E28017N,PMogr16_89,89.607,28.017,0.361,5409,5137,5232.0,60.0,15.0,0.0,110.0,Mo Chhu,83349,4121463660,7.1724998280406,692.625,24.274999856948853,31.16500037908554,3.315499968826771,3.0
354,G089540E28051N,PMogr16_82,89.54,28.051,0.269,5273,5047,5149.0,59.0,18.0,2.0,56.0,Mo Chhu,83410,4120828210,3.1799999872843423,706.1333482530382,10.555555555555555,18.728888723585342,0.5837777786784701,3.0
355,G089538E28059N,PMogr16_81,89.538,28.059,0.044,5346,5232,5286.0,52.0,22.0,0.0,104.0,Mo Chhu,83410,4120828210,3.1799999872843423,706.1333482530382,10.555555555555555,18.728888723585342,0.5837777786784701,3.0
356,G089631E28165N,PMogr16_107,89.631,28.165,0.397,5594,4953,5304.0,71.0,31.0,2.0,92.0,Mo Chhu,83411,4120828080,4.480000066757202,703.4199951171875,10.600000095367431,22.63800048828125,0.5563999861478806,2.0
