HYRIV_ID,NEXT_DOWN,MAIN_RIV,LENGTH_KM,DIST_DN_KM,DIST_UP_KM,CATCH_SKM,UPLAND_SKM,ENDORHEIC,DIS_AV_CMS,ORD_STRA,ORD_CLAS,ORD_FLOW,HYBAS_L12,Shape_Leng,geometry,index_right,HYBAS_ID
40810130,40809005,41067217,2.890000104904175,676.7999877929688,8.300000190734863,11.789999961853027,33.79999923706055,0,0.40599998831749,2,6,7,4121467400.0,0.027736892706106,"LINESTRING (89.3687499999995 27.685416666666235, 89.36041666666611 27.693749999999547, 89.3562499999995 27.693749999999547, 89.3479166666663 27.7020833333329)",15614,4080886640
40809286,40810409,41067217,5.130000114440918,670.5999755859375,14.899999618530273,24.520000457763672,99.5999984741211,0,1.075999975204468,2,5,6,4121467400.0,0.051725889843278,"LINESTRING (89.33958333333291 27.7020833333329, 89.32708333333281 27.7020833333329, 89.32291666666615 27.697916666666252, 89.28958333333284 27.697916666666252)",15614,4080886640
40809005,40809286,41067217,0.819999992847443,675.7999877929688,9.800000190734863,1.519999980926514,66.0,0,0.754000008106232,2,5,7,4121467400.0,0.008333333333383,"LINESTRING (89.3479166666663 27.7020833333329, 89.33958333333291 27.7020833333329)",15614,4080886640
40848584,40848060,41067217,1.309999942779541,809.7999877929688,3.299999952316284,5.730000019073486,5.699999809265137,0,0.291999995708466,1,5,7,4120858010.0,0.012142556509905,"LINESTRING (91.86874999999944 27.095833333332884, 91.86874999999944 27.102083333332907, 91.86458333333277 27.10624999999957)",15814,4080876180
40848336,40848338,41067217,0.409999996423721,812.2000122070312,5.5,0.379999995231628,12.600000381469727,0,0.587000012397766,2,4,7,4120858010.0,0.004166666666549,"LINESTRING (91.83541666666619 27.102083333332907, 91.83958333333274 27.102083333332907)",15814,4080876180
40848338,40848060,41067217,2.680000066757202,809.5999755859375,8.199999809265137,11.270000457763672,33.599998474121094,0,1.54200005531311,2,4,6,4120858010.0,0.026725889843254,"LINESTRING (91.83958333333274 27.102083333332907, 91.84791666666624 27.102083333332907, 91.8520833333329 27.10624999999957, 91.86458333333277 27.10624999999957)",15814,4080876180
40848337,40848338,41067217,1.860000014305115,812.4000244140625,3.799999952316284,9.739999771118164,9.699999809265137,0,0.435000002384186,1,5,7,4120858010.0,0.018035113019731,"LINESTRING (91.82499999999945 27.110416666666232, 91.83124999999941 27.110416666666232, 91.83958333333274 27.102083333332907)",15814,4080876180
40848585,40848061,41067217,4.079999923706055,801.7999877929688,6.300000190734863,12.609999656677246,12.600000381469727,0,0.649999976158142,1,4,7,4120858010.0,0.03901650429448,"LINESTRING (91.89166666666617 27.095833333332884, 91.89791666666613 27.102083333332907, 91.89791666666613 27.10624999999957, 91.91041666666612 27.118749999999586, 91.91874999999945 27.118749999999586)",15814,4080876180
40848059,40846970,41067217,3.200000047683716,755.2000122070312,5.199999809265137,10.699999809265137,10.699999809265137,0,0.455000013113022,1,4,7,4120857250.0,0.030683170961215,"LINESTRING (91.76666666666617 27.104166666666238, 91.75624999999943 27.114583333332895, 91.75208333333276 27.114583333332895, 91.74374999999944 27.12291666666625)",15732,4080886660
40848060,40847258,41067217,6.039999961853027,803.5,14.300000190734863,17.0,56.400001525878906,0,2.581000089645386,2,4,6,4120858010.0,0.05862944921612,"LINESTRING (91.86458333333277 27.10624999999957, 91.86874999999944 27.110416666666232, 91.87708333333276 27.110416666666232, 91.88541666666609 27.118749999999586, 91.88541666666609 27.12291666666625, 91.89374999999941 27.13124999999956, 91.91041666666612 27.13124999999956)",15814,4080876180
40846673,40844763,41067217,3.630000114440918,760.2999877929688,5.300000190734863,13.5600004196167,13.600000381469727,0,0.560999989509583,1,4,7,4120857250.0,0.032975889843195,"LINESTRING (91.78958333333279 27.12499999999958, 91.78958333333279 27.152083333332904, 91.78541666666612 27.156249999999552)",15732,4080886660
40846107,40846383,41067217,2.789999961853027,804.2000122070312,23.0,4.199999809265137,175.1999969482422,0,6.697000026702881,3,3,6,4120858010.0,0.026011002862979,"LINESTRING (91.89791666666613 27.156249999999552, 91.89791666666613 27.152083333332904, 91.9020833333328 27.14791666666624, 91.9020833333328 27.143749999999578, 91.91041666666612 27.135416666666224)",15814,4080876180
40846106,40845796,41067217,3.170000076293945,755.7999877929688,5.400000095367432,7.070000171661377,7.099999904632568,0,0.275999993085861,1,4,7,4120857250.0,0.028809223176547,"LINESTRING (91.75624999999943 27.133333333332892, 91.75624999999943 27.13958333333293, 91.75208333333276 27.143749999999578, 91.75208333333276 27.160416666666215)",15732,4080886660
40847254,40847803,41067217,1.340000033378601,675.2999877929688,4.300000190734863,8.210000038146973,8.199999809265137,0,0.162000000476837,1,5,7,4120858750.0,0.013005501431637,"LINESTRING (91.31666666666612 27.12499999999958, 91.32291666666609 27.118749999999586, 91.32708333333292 27.118749999999586)",15781,4080859650
40847255,40847803,41067217,1.159999966621399,675.2999877929688,5.300000190734863,7.260000228881836,7.300000190734863,0,0.142000004649162,1,4,7,4120858750.0,0.010416666666643,"LINESTRING (91.32708333333292 27.12916666666623, 91.32708333333292 27.118749999999586)",15781,4080859650
40847253,40847802,41067217,2.009999990463257,668.7000122070312,265.70001220703125,3.25,9614.7001953125,0,154.20199584960938,5,2,4,4120859640.0,0.018392556509857,"LINESTRING (91.23541666666611 27.135416666666224, 91.23541666666611 27.12291666666625, 91.23124999999945 27.118749999999586)",15780,4080859640
40847804,40849587,41067217,4.800000190734863,672.7000122070312,213.89999389648438,11.079999923706055,9772.900390625,0,59.59600067138672,5,3,5,4120858750.0,0.044403559372883,"LINESTRING (91.36458333333277 27.14791666666624, 91.36458333333277 27.143749999999578, 91.36041666666611 27.13958333333293, 91.36041666666611 27.12291666666625, 91.34791666666612 27.110416666666232)",15781,4080859650
40846671,40847253,41067217,4.03000020980835,670.5,6.599999904632568,13.760000228881836,13.800000190734863,0,0.266999989748001,1,3,7,4120859640.0,0.03973139127471,"LINESTRING (91.27083333333277 27.12499999999958, 91.26458333333281 27.13124999999956, 91.25208333333282 27.13124999999956, 91.24791666666616 27.135416666666224, 91.23541666666611 27.135416666666224)",15780,4080859640
40848056,40849589,41067217,10.579999923706055,675.2000122070312,40.400001525878906,24.829999923706055,171.3000030517578,0,3.852999925613403,2,4,6,4120857940.0,0.100592231765527,"LINESTRING (91.43958333333276 27.160416666666215, 91.4187499999995 27.13958333333293, 91.41458333333284 27.13958333333293, 91.41041666666618 27.135416666666224, 91.4020833333328 27.135416666666224, 91.39791666666613 27.13124999999956, 91.39374999999947 27.135416666666224, 91.38541666666615 27.135416666666224, 91.38124999999948 27.13124999999956, 91.38124999999948 27.118749999999586, 91.37708333333276 27.114583333332895, 91.37708333333276 27.10624999999957)",15781,4080859650
40846095,40847253,41067217,2.319999933242798,670.5,263.8999938964844,5.159999847412109,9597.7001953125,0,154.61900329589844,5,2,4,4120859640.0,0.020833333333329,"LINESTRING (91.23541666666611 27.156249999999552, 91.23541666666611 27.135416666666224)",15780,4080859640
40845289,40847804,41067217,3.619999885559082,677.5,6.800000190734863,12.029999732971191,12.0,0,0.236000001430511,1,4,7,4120858750.0,0.034849837627767,"LINESTRING (91.3374999999995 27.15416666666622, 91.34374999999946 27.160416666666215, 91.35208333333279 27.160416666666215, 91.36458333333277 27.14791666666624)",15781,4080859650
40845022,40846095,41067217,5.260000228881836,672.7999877929688,8.300000190734863,20.6299991607666,20.600000381469727,0,0.388999998569489,1,3,7,4120859640.0,0.051516504294489,"LINESTRING (91.27916666666616 27.15416666666622, 91.27291666666619 27.160416666666215, 91.26458333333281 27.152083333332904, 91.24791666666616 27.152083333332904, 91.24374999999944 27.156249999999552, 91.23541666666611 27.156249999999552)",15780,4080859640
40845290,40847804,41067217,2.319999933242798,677.5,209.10000610351562,3.819999933242798,9749.7001953125,0,60.89400100708008,5,3,5,4120858750.0,0.021844336196326,"LINESTRING (91.37708333333276 27.16458333333292, 91.36874999999944 27.156249999999552, 91.36874999999944 27.152083333332904, 91.36458333333277 27.14791666666624)",15781,4080859650
40845797,40844765,41067217,4.489999771118164,809.5,6.199999809265137,12.800000190734863,12.800000190734863,0,0.561999976634979,1,5,7,4121474280.0,0.04318317096109,"LINESTRING (91.8416666666661 27.137499999999598, 91.84791666666624 27.143749999999578, 91.85624999999945 27.143749999999578, 91.86458333333277 27.152083333332904, 91.86874999999944 27.152083333332904, 91.8729166666661 27.156249999999552, 91.8729166666661 27.160416666666215)",15814,4080876180
40845023,40844764,41067217,1.809999942779541,761.2000122070312,3.900000095367432,5.539999961853027,5.5,0,0.225999996066093,1,4,7,4120857250.0,0.017172168098176,"LINESTRING (91.80416666666613 27.149999999999572, 91.79791666666617 27.156249999999552, 91.79791666666617 27.160416666666215, 91.79374999999945 27.160416666666215)",15732,4080886660
40844766,40846107,41067217,0.46000000834465,806.7999877929688,20.399999618530273,0.569999992847443,114.9000015258789,0,4.313000202178955,2,3,6,4121474280.0,0.004166666666663,"LINESTRING (91.89791666666613 27.160416666666215, 91.89791666666613 27.156249999999552)",15814,4080876180
40844765,40846107,41067217,2.680000066757202,806.7999877929688,10.199999809265137,7.829999923706055,56.099998474121094,0,2.289999961853027,2,4,6,4121474280.0,0.02672588984327,"LINESTRING (91.8729166666661 27.160416666666215, 91.88958333333281 27.160416666666215, 91.89374999999941 27.156249999999552, 91.89791666666613 27.156249999999552)",15814,4080876180
